"","Sample","NumA","NumB","Filter","NumTotal","PercentB"
"128",183,46512,69375,"114",115887,0.598643506174118
"129",291,173850,252129,"114",425979,0.591881289922743
"130",103,26724,36450,"114",63174,0.576977870642986
"131",362,7931,10344,"114",18275,0.566019151846785
"132",22,7318,9305,"114",16623,0.55976658846177
"133",283,63985,81138,"114",145123,0.559098144332738
"134",507,13613,16974,"114",30587,0.554941641873999
"135",122,36263,45187,"114",81450,0.554782074892572
"136",290,80187,95612,"114",175799,0.543871125546789
"137",276,31757,35494,"115",67251,0.527783973472513
"138",295,68448,72728,"115",141176,0.51515838386128
"139",297,55020,56083,"115",111103,0.504783849220993
"140",121,38451,35803,"115",74254,0.482169310744202
"141",429,17604,15851,"115",33455,0.473800627708863
"142",20,17948,15508,"115",33456,0.463534194165471
"143",391,320993,260992,"116",581985,0.448451420569259
"144",124,141025,110989,"116",252014,0.440408072567397
"145",123,161017,121980,"116",282997,0.431029304197571
"146",126,222570,165924,"116",388494,0.427095399156744
"147",104,63557,46607,"116",110164,0.423069242220689
"148",296,118590,83389,"116",201979,0.412859752746573
"149",294,76177,53421,"116",129598,0.412205435269063
"150",129,127579,86801,"116",214380,0.404893180333986
"151",248,16418,10996,"116",27414,0.401108922448384
"152",421,29299,19273,"117",48572,0.396792390677757
"153",106,79722,50231,"117",129953,0.386532053896409
"154",327,47173,29398,"117",76571,0.383931253346567
"155",470,61170,37998,"117",99168,0.383167957405615
"156",398,10300,6381,"117",16681,0.382531023319945
"157",428,18457,11407,"117",29864,0.381964907581034
"158",130,206059,125607,"117",331666,0.378715334101174
"159",292,210339,127621,"117",337960,0.377621612025092
"160",281,36769,22260,"117",59029,0.377102779989497
"161",410,75527,44078,"118",119605,0.36852974373981
"162",423,10203,5918,"118",16121,0.367098815209975
"163",75,67911,38971,"118",106882,0.364617054321588
"164",288,176934,100682,"118",277616,0.362666416921215
"165",304,122476,67304,"118",189780,0.354642217304247
"166",107,108680,56754,"118",165434,0.343061281236022
"167",389,60977,29924,"118",90901,0.32919329820354
"168",160,312915,153453,"118",466368,0.329038441745574
"169",111,253341,121781,"118",375122,0.32464371591109
"170",393,238883,111996,"118",350879,0.319186956187176
"171",149,274486,124589,"119",399075,0.31219444966485
"172",427,103428,46899,"119",150327,0.3119798838532
"173",282,91761,40450,"119",132211,0.305950336961372
"174",114,194335,83068,"119",277403,0.29944881634301
"175",306,70794,29848,"119",100642,0.296575982194313
"176",310,129301,53584,"119",182885,0.292992864368319
"177",356,91627,37949,"119",129576,0.292870593319751
"178",97,117751,47295,"119",165046,0.2865564751645
"179",117,380000,150975,"119",530975,0.284335420688356
"180",317,167595,64500,"120",232095,0.27790344471014
"181",289,189552,72839,"120",262391,0.277597173683549
"182",128,219504,80933,"120",300437,0.269384263589372
"183",303,104853,38297,"120",143150,0.267530562347188
"184",280,48933,17695,"120",66628,0.265579035840788
"185",315,91761,32947,"120",124708,0.264193155210572
"186",624,127988,45604,"120",173592,0.262707958892115
"187",118,206059,72688,"120",278747,0.260766932020793
"188",108,102339,35397,"120",137736,0.256991636173549
"189",404,141101,48788,"120",189889,0.256929048022792
"190",94,86243,29258,"121",115501,0.253313824122735
"191",99,96219,31636,"121",127855,0.247436549215909
"192",109,274486,84707,"121",359193,0.235825865203386
"193",196,50145,15391,"121",65536,0.234848022460938
"194",112,164530,50068,"121",214598,0.233310655271717
"195",620,127760,38645,"121",166405,0.232234608335086
"196",158,355080,106910,"121",461990,0.231411935323275
"197",293,78558,23476,"121",102034,0.230080169355313
"198",300,131402,38297,"121",169699,0.22567604994726
"199",275,195476,56083,"121",251559,0.22294173533843
"200",308,151920,42855,"122",194775,0.220023103581055
"201",525,154259,43081,"122",197340,0.218308503091112
"202",419,58267,16212,"122",74479,0.217672095490004
"203",102,141679,38212,"122",179891,0.212417519497918
"204",543,45736,11658,"122",57394,0.203122277589992
"205",307,179810,45403,"122",225213,0.201600262862268
"206",113,121813,29787,"122",151600,0.196484168865435
"207",382,105606,25553,"122",131159,0.194824602200383
"208",319,149710,35012,"122",184722,0.189538874633233
"209",144,91729,20888,"122",112617,0.185478213768792
"210",547,73833,16315,"123",90148,0.180980165949328
"211",346,100490,21659,"123",122149,0.177316228540553
"212",120,163267,34939,"123",198206,0.176276197491499
"213",313,92301,19682,"123",111983,0.17575882053526
"214",143,179089,37472,"123",216561,0.173032078721469
"215",311,99903,20694,"123",120597,0.17159630836588
"216",274,121939,24985,"123",146924,0.17005390542049
"217",119,189308,38150,"123",227458,0.167723271988675
"218",154,110368,22149,"123",132517,0.16714081966842
"219",305,119988,23908,"123",143896,0.166147773391894
"220",90,138617,27610,"124",166227,0.166098166964452
"221",115,308604,61167,"124",369771,0.165418596915388
"222",318,191787,37891,"124",229678,0.164974442480342
"223",147,233465,45187,"124",278652,0.16216284110647
"224",105,96070,18337,"124",114407,0.160278654278147
"225",284,170569,32352,"124",202921,0.159431502900143
"226",125,203848,38587,"124",242435,0.159164312083651
"227",165,297854,55838,"124",353692,0.15787182068014
"228",168,70256,12755,"124",83011,0.153654334967655
"229",324,91627,16525,"124",108152,0.152794215548487
"230",79,296903,53416,"125",350319,0.15247816989658
"231",259,81522,14608,"125",96130,0.151960886299802
"232",110,141679,25353,"125",167032,0.15178528665166
"233",514,185679,32885,"125",218564,0.150459362017533
"234",407,63812,11257,"125",75069,0.149955374388896
"235",100,170731,29884,"125",200615,0.148961942028263
"236",388,372092,64926,"125",437018,0.148565962958047
"237",139,299696,50972,"125",350668,0.145356861760982
"238",171,72456,11951,"125",84407,0.141587783003779
"239",137,194036,31585,"125",225621,0.139991401509611
"240",610,251311,40593,"126",291904,0.139062842578382
"241",155,257277,41385,"126",298662,0.138568013339494
"242",411,65527,10442,"126",75969,0.137450802300939
"243",414,67671,10680,"126",78351,0.136309683348011
"244",141,247932,38713,"126",286645,0.135055556524621
